Rank,Title,Year,Rating
216,Tokyo Story,,8.1
215,Wild Strawberries,,8.1
214,Rocky,,8.1
213,On the Waterfront,,8.1
212,Mr. Smith Goes to Washington,,8.1
221,The Terminator,,8.1
226,Room,,8.1
227,The Sound of Music,,8.1
229,The Best Years of Our Lives,,8.1
228,Hotel Rwanda,,8.1
222,La haine,,8.1
223,The Big Lebowski,,8.1
225,The Seventh Seal,,8.1
219,Spotlight,,8.1
242,The Handmaiden,,8.1
234,The Exorcist,,8.1
231,Before Sunset,,8.1
230,Platoon,,8.1
238,Stand by Me,,8.1
235,Hachi: A Dog's Tale,,8.1
237,The Wizard of Oz,,8.1
236,Rush,,8.1
246,The Grapes of Wrath,,8.1
240,The Passion of Joan of Arc,,8.1
239,The Iron Giant,,8.1
243,Network,,8.1
247,To Be or Not to Be,,8.1
244,The Battle of Algiers,,8.1
250,The Help,,8.1
233,The Incredibles,,8.0
